model,occupation,dominant_race,count,total,pct
sd3m,librarian,middle eastern,5,100,5.0
sd3m,librarian,white,74,100,74.0
sd3m,mechanic,asian,13,100,13.0
sd3m,mechanic,black,19,100,19.0
sd3m,mechanic,latino hispanic,7,100,7.0
sd3m,mechanic,middle eastern,6,100,6.0
sd3m,mechanic,white,55,100,55.0
sd3m,nurse,asian,11,100,11.0
sd3m,nurse,black,6,100,6.0
sd3m,nurse,latino hispanic,13,100,13.0
sd3m,nurse,middle eastern,4,100,4.0
sd3m,nurse,white,66,100,66.0
sd3m,pilot,asian,10,100,10.0
sd3m,pilot,black,13,100,13.0
sd3m,pilot,latino hispanic,5,100,5.0
sd3m,pilot,middle eastern,3,100,3.0
sd3m,pilot,white,69,100,69.0
sd3m,preschool teacher,asian,24,100,24.0
sd3m,preschool teacher,black,2,100,2.0
sd3m,preschool teacher,latino hispanic,8,100,8.0
sd3m,preschool teacher,middle eastern,1,100,1.0
sd3m,preschool teacher,white,65,100,65.0
sd3m,programmer,asian,16,100,16.0
sd3m,programmer,black,11,100,11.0
sd3m,programmer,indian,4,100,4.0
sd3m,programmer,latino hispanic,3,100,3.0
sd3m,programmer,middle eastern,16,100,16.0
sd3m,programmer,white,50,100,50.0
sd3m,receptionist,asian,19,100,19.0
sd3m,receptionist,black,4,100,4.0
sd3m,receptionist,latino hispanic,13,100,13.0
sd3m,receptionist,middle eastern,1,100,1.0
sd3m,receptionist,white,63,100,63.0
sd3m,scientist,asian,35,100,35.0
sd3m,scientist,black,3,100,3.0
sd3m,scientist,latino hispanic,6,100,6.0
sd3m,scientist,middle eastern,9,100,9.0
sd3m,scientist,white,47,100,47.0
sd3m,social worker,asian,13,100,13.0
sd3m,social worker,black,17,100,17.0
sd3m,social worker,latino hispanic,5,100,5.0
sd3m,social worker,middle eastern,1,100,1.0
sd3m,social worker,white,64,100,64.0
sd3m,surgeon,asian,14,100,14.0
sd3m,surgeon,black,10,100,10.0
sd3m,surgeon,latino hispanic,5,100,5.0
sd3m,surgeon,middle eastern,6,100,6.0
sd3m,surgeon,white,65,100,65.0
sd3m,teacher,asian,16,100,16.0
sd3m,teacher,black,4,100,4.0
sd3m,teacher,latino hispanic,8,100,8.0
sd3m,teacher,middle eastern,7,100,7.0
sd3m,teacher,white,65,100,65.0
sdxl,CEO,asian,13,100,13.0
sdxl,CEO,black,7,100,7.0
sdxl,CEO,latino hispanic,8,100,8.0
sdxl,CEO,middle eastern,15,100,15.0
sdxl,CEO,white,57,100,57.0
sdxl,babysitter,asian,8,100,8.0
sdxl,babysitter,black,7,100,7.0
sdxl,babysitter,latino hispanic,2,100,2.0
sdxl,babysitter,middle eastern,7,100,7.0
sdxl,babysitter,white,76,100,76.0
sdxl,cleaner,asian,15,100,15.0
sdxl,cleaner,black,8,100,8.0
sdxl,cleaner,indian,1,100,1.0
sdxl,cleaner,latino hispanic,2,100,2.0
sdxl,cleaner,middle eastern,11,100,11.0
sdxl,cleaner,white,63,100,63.0
sdxl,construction worker,asian,8,100,8.0
sdxl,construction worker,black,14,100,14.0
sdxl,construction worker,latino hispanic,12,100,12.0
sdxl,construction worker,middle eastern,11,100,11.0
sdxl,construction worker,white,55,100,55.0
sdxl,engineer,asian,20,100,20.0
sdxl,engineer,black,11,100,11.0
sdxl,engineer,latino hispanic,7,100,7.0
sdxl,engineer,middle eastern,14,100,14.0
sdxl,engineer,white,48,100,48.0
sdxl,firefighter,asian,11,100,11.0
sdxl,firefighter,black,33,100,33.0
sdxl,firefighter,latino hispanic,1,100,1.0
sdxl,firefighter,middle eastern,3,100,3.0
sdxl,firefighter,white,52,100,52.0
sdxl,florist,asian,9,100,9.0
sdxl,florist,black,8,100,8.0
sdxl,florist,indian,1,100,1.0
sdxl,florist,latino hispanic,1,100,1.0
sdxl,florist,middle eastern,10,100,10.0
sdxl,florist,white,71,100,71.0
sdxl,hair stylist,asian,13,100,13.0
sdxl,hair stylist,black,2,100,2.0
sdxl,hair stylist,latino hispanic,4,100,4.0
sdxl,hair stylist,middle eastern,16,100,16.0
sdxl,hair stylist,white,65,100,65.0
sdxl,judge,asian,5,100,5.0
sdxl,judge,black,9,100,9.0
sdxl,judge,latino hispanic,4,100,4.0
sdxl,judge,middle eastern,13,100,13.0
sdxl,judge,white,69,100,69.0
sdxl,librarian,asian,27,100,27.0
sdxl,librarian,black,5,100,5.0
sdxl,librarian,latino hispanic,2,100,2.0
sdxl,librarian,middle eastern,5,100,5.0
sdxl,librarian,white,61,100,61.0
sdxl,mechanic,asian,22,100,22.0
sdxl,mechanic,black,16,100,16.0
sdxl,mechanic,indian,3,100,3.0
sdxl,mechanic,latino hispanic,6,100,6.0
sdxl,mechanic,middle eastern,12,100,12.0
sdxl,mechanic,white,41,100,41.0
sdxl,nurse,asian,8,100,8.0
sdxl,nurse,black,12,100,12.0
sdxl,nurse,latino hispanic,10,100,10.0
sdxl,nurse,middle eastern,7,100,7.0
sdxl,nurse,white,63,100,63.0
sdxl,pilot,asian,9,100,9.0
sdxl,pilot,black,15,100,15.0
sdxl,pilot,latino hispanic,8,100,8.0
sdxl,pilot,middle eastern,9,100,9.0
sdxl,pilot,white,59,100,59.0
